DATE,CO2
01/01/1964,322.23
01/02/1964,321.89
01/03/1964,320.44
01/04/1964,318.7
01/05/1964,316.7
01/06/1964,316.87
01/07/1964,317.68
01/08/1964,318.71
01/09/1964,319.44
01/10/1964,320.44
01/11/1964,320.89
01/12/1964,322.13
01/01/1965,322.16
01/02/1965,321.87
01/03/1965,321.21
01/04/1965,318.87
01/05/1965,317.81
01/06/1965,317.3
01/07/1965,318.87
01/08/1965,319.42
01/09/1965,320.62
01/10/1965,321.59
01/11/1965,322.39
01/12/1965,323.7
01/01/1966,324.07
01/02/1966,323.75
01/03/1966,322.4
01/04/1966,320.37
01/05/1966,318.64
01/06/1966,318.1
01/07/1966,319.79
01/08/1966,321.03
01/09/1966,322.33
01/10/1966,322.5
01/11/1966,323.04
01/12/1966,324.42
01/01/1967,325
01/02/1967,324.09
01/03/1967,322.55
01/04/1967,320.92
01/05/1967,319.26
01/06/1967,319.39
01/07/1967,320.72
01/08/1967,321.96
01/09/1967,322.57
01/10/1967,323.15
01/11/1967,323.89
01/12/1967,325.02
01/01/1968,325.57
01/02/1968,325.36
01/03/1968,324.14
01/04/1968,322.11
01/05/1968,320.33
01/06/1968,320.25
01/07/1968,321.32
01/08/1968,322.9
01/09/1968,324
01/10/1968,324.42
01/11/1968,325.64
01/12/1968,326.66
01/01/1969,327.38
01/02/1969,326.7
01/03/1969,325.89
01/04/1969,323.67
01/05/1969,322.38
01/06/1969,321.78
01/07/1969,322.85
01/08/1969,324.12
01/09/1969,325.06
01/10/1969,325.98
01/11/1969,326.93
01/12/1969,328.13
01/01/1970,328.07
01/02/1970,327.66
01/03/1970,326.35
01/04/1970,324.69
01/05/1970,323.1
01/06/1970,323.07
01/07/1970,324.01
01/08/1970,325.13
01/09/1970,326.17
01/10/1970,326.68
01/11/1970,327.18
01/12/1970,327.78
01/01/1971,328.92
01/02/1971,328.57
01/03/1971,327.37
01/04/1971,325.43
01/05/1971,323.36
01/06/1971,323.56
01/07/1971,324.8
01/08/1971,326.01
01/09/1971,326.77
01/10/1971,327.63
01/11/1971,327.75
01/12/1971,329.72
01/01/1972,330.07
01/02/1972,329.09
01/03/1972,328.05
01/04/1972,326.32
01/05/1972,324.84
01/06/1972,325.2
01/07/1972,326.5
01/08/1972,327.55
01/09/1972,328.54
01/10/1972,329.56
01/11/1972,330.3
01/12/1972,331.5
01/01/1973,332.48
01/02/1973,332.07
01/03/1973,330.87
01/04/1973,329.31
01/05/1973,327.51
01/06/1973,327.18
01/07/1973,328.16
01/08/1973,328.64
01/09/1973,329.35
01/10/1973,330.71
01/11/1973,331.48
01/12/1973,332.65
01/01/1974,333.09
01/02/1974,332.25
01/03/1974,331.18
01/04/1974,329.4
01/05/1974,327.44
01/06/1974,327.37
01/07/1974,328.46
01/08/1974,329.58
01/09/1974,330.4
01/10/1974,331.41
01/11/1974,332.04
01/12/1974,333.31
01/01/1975,333.96
01/02/1975,333.59
01/03/1975,331.91
01/04/1975,330.06
01/05/1975,328.56
01/06/1975,328.34
01/07/1975,329.49
01/08/1975,330.76
01/09/1975,331.74
01/10/1975,332.56
01/11/1975,333.5
01/12/1975,334.58
01/01/1976,334.87
01/02/1976,334.34
01/03/1976,333.05
01/04/1976,330.94
01/05/1976,329.3
01/06/1976,328.94
01/07/1976,330.31
01/08/1976,331.68
01/09/1976,332.92
01/10/1976,333.42
01/11/1976,334.7
01/12/1976,336.07
01/01/1977,336.74
01/02/1977,336.27
01/03/1977,334.93
01/04/1977,332.75
01/05/1977,331.58
01/06/1977,331.16
01/07/1977,332.4
01/08/1977,333.85
01/09/1977,334.97
01/10/1977,335.39
01/11/1977,336.64
01/12/1977,337.76
01/01/1978,338.01
01/02/1978,337.89
01/03/1978,336.54
01/04/1978,334.68
01/05/1978,332.76
01/06/1978,332.54
01/07/1978,333.92
01/08/1978,334.95
01/09/1978,336.23
01/10/1978,336.76
01/11/1978,337.96
01/12/1978,338.89
01/01/1979,339.47
01/02/1979,339.29
01/03/1979,337.73
01/04/1979,336.09
01/05/1979,333.91
01/06/1979,333.86
01/07/1979,335.29
01/08/1979,336.73
01/09/1979,338.01
01/10/1979,338.36
01/11/1979,340.08
01/12/1979,340.77
01/01/1980,341.46
01/02/1980,341.17
01/03/1980,339.56
01/04/1980,337.6
01/05/1980,335.88
01/06/1980,336.01
01/07/1980,337.1
01/08/1980,338.21
01/09/1980,339.23
01/10/1980,340.47
01/11/1980,341.38
01/12/1980,342.51
01/01/1981,342.91
01/02/1981,342.25
01/03/1981,340.49
01/04/1981,338.43
01/05/1981,336.69
01/06/1981,336.85
01/07/1981,338.36
01/08/1981,339.61
01/09/1981,340.75
01/10/1981,341.61
01/11/1981,342.7
01/12/1981,343.56
01/01/1982,344.13
01/02/1982,343.35
01/03/1982,342.06
01/04/1982,339.82
01/05/1982,337.97
01/06/1982,337.86
01/07/1982,339.26
01/08/1982,340.49
01/09/1982,341.37
01/10/1982,342.52
01/11/1982,343.1
01/12/1982,344.94
01/01/1983,345.75
01/02/1983,345.32
01/03/1983,343.99
01/04/1983,342.39
01/05/1983,339.86
01/06/1983,339.99
01/07/1983,341.16
01/08/1983,342.99
01/09/1983,343.7
01/10/1983,344.51
01/11/1983,345.28
01/12/1983,347.08
01/01/1984,347.43
01/02/1984,346.79
01/03/1984,345.4
01/04/1984,343.28
01/05/1984,341.07
01/06/1984,341.35
01/07/1984,342.98
01/08/1984,344.22
01/09/1984,344.97
01/10/1984,346
01/11/1984,347.43
01/12/1984,348.35
01/01/1985,348.93
01/02/1985,348.25
01/03/1985,346.56
01/04/1985,344.69
01/05/1985,343.09
01/06/1985,342.8
01/07/1985,344.24
01/08/1985,345.56
01/09/1985,346.29
01/10/1985,346.96
01/11/1985,347.86
01/12/1985,349.55
01/01/1986,350.21
01/02/1986,349.54
01/03/1986,347.94
01/04/1986,345.91
01/05/1986,344.86
01/06/1986,344.17
01/07/1986,345.66
01/08/1986,346.9
01/09/1986,348.02
01/10/1986,348.47
01/11/1986,349.42
01/12/1986,350.99
01/01/1987,351.84
01/02/1987,351.25
01/03/1987,349.52
01/04/1987,348.1
01/05/1987,346.44
01/06/1987,346.36
01/07/1987,347.81
01/08/1987,348.96
01/09/1987,350.43
01/10/1987,351.72
01/11/1987,352.22
01/12/1987,353.59
01/01/1988,354.22
01/02/1988,353.79
01/03/1988,352.39
01/04/1988,350.44
01/05/1988,348.72
01/06/1988,348.88
01/07/1988,350.07
01/08/1988,351.34
01/09/1988,352.76
01/10/1988,353.07
01/11/1988,353.68
01/12/1988,355.42
01/01/1989,355.67
01/02/1989,355.13
01/03/1989,353.9
01/04/1989,351.67
01/05/1989,349.8
01/06/1989,349.99
01/07/1989,351.3
01/08/1989,352.53
01/09/1989,353.66
01/10/1989,354.7
01/11/1989,355.39
01/12/1989,356.2
01/01/1990,357.16
01/02/1990,356.22
01/03/1990,354.82
01/04/1990,352.91
01/05/1990,350.96
01/06/1990,351.18
01/07/1990,352.83
01/08/1990,354.21
01/09/1990,354.72
01/10/1990,355.75
01/11/1990,357.16
01/12/1990,358.6
01/01/1991,359.34
01/02/1991,358.24
01/03/1991,356.17
01/04/1991,354.03
01/05/1991,352.16
01/06/1991,352.21
01/07/1991,353.75
01/08/1991,354.99
01/09/1991,355.98
01/10/1991,356.72
01/11/1991,357.81
01/12/1991,359.15
01/01/1992,359.66
01/02/1992,359.25
01/03/1992,357.03
01/04/1992,355
01/05/1992,353.01
01/06/1992,353.31
01/07/1992,354.16
01/08/1992,355.4
01/09/1992,356.7
01/10/1992,357.16
01/11/1992,358.38
01/12/1992,359.46
01/01/1993,360.28
01/02/1993,359.6
01/03/1993,357.57
01/04/1993,355.52
01/05/1993,353.7
01/06/1993,353.98
01/07/1993,355.33
01/08/1993,356.8
01/09/1993,358.36
01/10/1993,358.91
01/11/1993,359.97
01/12/1993,361.26
01/01/1994,361.68
01/02/1994,360.95
01/03/1994,359.55
01/04/1994,357.49
01/05/1994,355.84
01/06/1994,355.99
01/07/1994,357.58
01/08/1994,359.04
01/09/1994,359.96
01/10/1994,361
01/11/1994,361.64
01/12/1994,363.45
01/01/1995,363.79
01/02/1995,363.26
01/03/1995,361.9
01/04/1995,359.46
01/05/1995,358.06
01/06/1995,357.75
01/07/1995,359.56
01/08/1995,360.7
01/09/1995,362.05
01/10/1995,363.25
01/11/1995,364.03
01/12/1995,364.72
01/01/1996,365.41
01/02/1996,364.97
01/03/1996,363.65
01/04/1996,361.49
01/05/1996,359.46
01/06/1996,359.6
01/07/1996,360.76
01/08/1996,362.33
01/09/1996,363.18
01/10/1996,364
01/11/1996,364.57
01/12/1996,366.35
01/01/1997,366.79
01/02/1997,365.62
01/03/1997,364.47
01/04/1997,362.51
01/05/1997,360.19
01/06/1997,360.77
01/07/1997,362.43
01/08/1997,364.28
01/09/1997,365.32
01/10/1997,366.15
01/11/1997,367.31
01/12/1997,368.61
01/01/1998,369.29
01/02/1998,368.87
01/03/1998,367.64
01/04/1998,365.77
01/05/1998,363.9
01/06/1998,364.23
01/07/1998,365.46
01/08/1998,366.97
01/09/1998,368.15
01/10/1998,368.87
01/11/1998,369.59
01/12/1998,371.14
01/01/1999,371
01/02/1999,370.35
01/03/1999,369.27
01/04/1999,366.94
01/05/1999,364.63
01/06/1999,365.12
01/07/1999,366.67
01/08/1999,368.01
01/09/1999,369.14
01/10/1999,369.46
01/11/1999,370.52
01/12/1999,371.66
01/01/2000,371.82
01/02/2000,371.7
01/03/2000,370.12
01/04/2000,368.12
01/05/2000,366.62
01/06/2000,366.73
01/07/2000,368.29
01/08/2000,369.53
01/09/2000,370.28
01/10/2000,371.5
01/11/2000,372.12
01/12/2000,372.87
01/01/2001,374.02
01/02/2001,373.3
01/03/2001,371.62
01/04/2001,369.55
01/05/2001,367.96
01/06/2001,368.09
01/07/2001,369.68
01/08/2001,371.24
01/09/2001,372.43
01/10/2001,373.09
01/11/2001,373.52
01/12/2001,374.86
01/01/2002,375.55
01/02/2002,375.4
01/03/2002,374.02
01/04/2002,371.49
01/05/2002,370.71
01/06/2002,370.24
01/07/2002,372.08
01/08/2002,373.78
01/09/2002,374.68
01/10/2002,375.63
01/11/2002,376.11
01/12/2002,377.65
01/01/2003,378.35
01/02/2003,378.13
01/03/2003,376.62
01/04/2003,374.5
01/05/2003,372.99
01/06/2003,373
01/07/2003,374.35
01/08/2003,375.7
01/09/2003,376.79
01/10/2003,377.37
01/11/2003,378.41
01/12/2003,380.52
01/01/2004,380.63
01/02/2004,379.57
01/03/2004,377.79
01/04/2004,375.86
01/05/2004,374.06
01/06/2004,374.24
01/07/2004,375.86
01/08/2004,377.48
